BioWare 3.0 Export
Device:	KistlerMobileFP 9286AA	KistlerMobileFP 9286AA	KistlerMobileFP 9286AA	KistlerMobileFP 9286AA	KistlerMobileFP 9286AA	KistlerMobileFP 9286AA	KistlerMobileFP 9286AA	KistlerMobileFP 9286AA	KistlerMobileFP 9286AA	KistlerMobileFP 9286AA	KistlerMobileFP 9286AA	KistlerMobileFP 9286AA	KistlerMobileFP 9286AA
Samples (#):	12000	12000	12000	12000	12000	12000	12000	12000	12000	12000	12000	12000	12000
Rate (Hz):	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000
Contact period start (sample #):	0	0	0	0	0	0	0	0	0	0	0	0	0
Contact period end (sample #):	11999	11999	11999	11999	11999	11999	11999	11999	11999	11999	11999	11999	11999
Contact period start time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Contact period end time (s):	59.995000	59.995000	59.995000	59.995000	59.995000	59.995000	59.995000	59.995000	59.995000	59.995000	59.995000	59.995000	59.995000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	-0.040877	-0.040877	-0.040877	-0.040877	-0.040877	-0.040877	-0.040877	-0.040877	-0.040877	-0.040877	-0.040877	-0.040877	-0.040877
Normalized length (m):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
abs time (s)	Fx	Fy	Fz	Ft	Mx	My	Mz	Tz	Ax	Ay	Cofy	Cofxy	Device:
	N	N	N	N	N m	N m	N m	N m	m	m	µ	µ	µ
0.375000	0.664321	2.376365	661.080174	661.084779	12.138823	-24.050447	-0.063685	-0.137940	0.036381	0.018362	0.001005	0.003595	0.003732
0.380000	0.767762	2.384097	660.734263	660.739010	11.948482	-23.987637	-0.077127	-0.149797	0.036305	0.018084	0.001162	0.003608	0.003791
0.385000	0.775734	2.399828	662.985339	662.990136	12.469629	-23.896144	-0.080939	-0.152847	0.036043	0.018808	0.001170	0.003620	0.003804
0.390000	0.847386	2.407649	660.561454	660.566385	11.995486	-23.955643	-0.102012	-0.173939	0.036266	0.018160	0.001283	0.003645	0.003864
0.395000	0.847419	2.376143	661.080174	661.084988	12.138828	-24.046419	-0.123390	-0.194261	0.036374	0.018362	0.001282	0.003594	0.003816
0.400000	0.895176	2.384053	661.428072	661.432975	12.233071	-23.984520	-0.128029	-0.197923	0.036262	0.018495	0.001353	0.003604	0.003850
0.405000	0.895187	2.431024	662.640308	662.645372	12.374059	-24.074931	-0.137872	-0.209479	0.036332	0.018674	0.001351	0.003669	0.003910
0.410000	0.895221	2.438845	662.467402	662.472496	12.136248	-24.105121	-0.152367	-0.224709	0.036387	0.018320	0.001351	0.003681	0.003922
0.415000	0.903171	2.454576	665.411994	665.417134	12.276588	-24.134161	-0.147428	-0.219791	0.036270	0.018450	0.001357	0.003689	0.003931
0.420000	0.887293	2.415293	666.107692	666.112662	12.371216	-24.012798	-0.164689	-0.235280	0.036049	0.018572	0.001332	0.003626	0.003863
0.425000	0.799786	2.344637	662.467206	662.471838	12.138267	-24.046737	-0.171013	-0.241466	0.036299	0.018323	0.001207	0.003539	0.003739
0.430000	0.760002	2.297577	661.776068	661.780493	12.044284	-24.047561	-0.168840	-0.238498	0.036338	0.018200	0.001148	0.003472	0.003657
0.435000	0.807747	2.297577	663.856616	663.861083	12.232493	-23.984967	-0.173225	-0.241352	0.036130	0.018426	0.001217	0.003461	0.003669
0.440000	0.736129	2.234830	662.644575	662.648753	12.091906	-23.956615	-0.166679	-0.234042	0.036153	0.018248	0.001111	0.003373	0.003551
0.445000	0.767963	2.250561	662.819762	662.824028	11.948392	-23.985740	-0.168308	-0.235906	0.036187	0.018027	0.001159	0.003395	0.003588
0.450000	0.696334	2.274113	663.165087	663.169351	12.137883	-23.866401	-0.155971	-0.225068	0.035989	0.018303	0.001050	0.003429	0.003586
